lang_from,lang_to
der,the (masculine)
die,the (feminine/plural)
das,the (neuter)
und,and
sein,to be (inf)
ich,I
zu,to
haben,to have
werden,to become
sie,she/they
von,from
nicht,not
mit,with
es,it
sich,oneself
auch,also
auf,on
für,for
an,at
er,he
so,so
dass,that
können,can/to be able
dies,this
als,as/than
ihr,her/their
ja,yes
wie,how
bei,at/with
oder,or
wir,we
aber,but
dann,then
man,one/you (impersonal)
da,there
sein,his
noch,still/yet
nach,after/to
was,what
also,so/thus
aus,out of
nur,only
wenn,if/when
durch,through
über,over/about
mehr,more
sagen,to say
machen,to make/do
geben,to give
kommen,to come
sollen,should
unter,under
sehr,very
schon,already
hier,here
bis,until
groß,big
wieder,again
zwei,two
gehen,to go
wissen,to know (fact)
neu,new
sehen,to see
lassen,to let/allow
stehen,to stand
finden,to find
bleiben,to stay
liegen,to lie (be located)
heißen,to be called
denken,to think
nehmen,to take
tun,to do
dürfen,may/to be allowed
glauben,to believe
halten,to hold
nennen,to name
mögen,to like
zeigen,to show
führen,to lead
sprechen,to speak
bringen,to bring
leben,to live
fahren,to drive/go
meinen,to mean/think
fragen,to ask
kennen,to know (person)
gelten,to be valid
stellen,to place
spielen,to play
arbeiten,to work
brauchen,to need
folgen,to follow
lernen,to learn
bestehen,to exist/pass
verstehen,to understand
setzen,to set
bekommen,to get/receive
beginnen,to begin
erzählen,to tell
versuchen,to try
schreiben,to write
laufen,to run
erklären,to explain
entsprechen,to correspond
sitzen,to sit
ziehen,to pull/move
scheinen,to seem
fallen,to fall
gehören,to belong
entstehen,to arise
treffen,to meet
suchen,to search
legen,to lay
vorstellen,to imagine/introduce
handeln,to act
erreichen,to reach
tragen,to carry/wear
schaffen,to create/manage
lesen,to read
verlieren,to lose
darstellen,to depict
erkennen,to recognize
entwickeln,to develop
reden,to talk
erscheinen,to appear
bilden,to form
anfangen,to start
erwarten,to expect
wohnen,to live/reside
betreffen,to concern
warten,to wait
sterben,to die
bleiben,to remain
passieren,to happen
treten,to step
melden,to report
gehören,to belong
enthalten,to contain
beziehen,to refer
vergessen,to forget
verhindern,to prevent
handeln,to deal/act
beschreiben,to describe
zählen,to count
vergleichen,to compare
gewinnen,to win
öffnen,to open
schließen,to close
lieben,to love
kaufen,to buy
bezahlen,to pay
reisen,to travel
kochen,to cook
essen,to eat
trinken,to drink
schlafen,to sleep
helfen,to help
gefallen,to please/like
antworten,to answer
beginnen,to begin
enden,to end
wachsen,to grow
ziehen,to move/pull
halten,to stop/hold
fühlen,to feel
erinnern,to remember
hoffen,to hope
lächeln,to smile
tanzen,to dance
singen,to sing
springen,to jump
arbeiten,to work
baden,to bathe
duschen,to shower
klingeln,to ring
planen,to plan
